V 0 :0.997834 -0.0105558 -0.0649297 -0.0645998 0.0290595 -0.997488 0.0124161 0.999522 0.0283145 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.998216 0.01937 0.05648 -0.0191071 -0.999804 0.00519115 0.0565694 0.00410272 0.99839 ,-0.0740332 0.0302236 -0.0400969 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.125719 -0.0316271 0.0687992 ,19.3055
V 13 :0.994445 -0.101408 -0.0282245 -0.0232082 0.0503108 -0.998464 0.102672 0.993572 0.0476777 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.997215 -0.0723171 0.018226 0.072039 -0.997282 -0.015476 0.0192956 -0.0141199 0.999714 ,-1.35213 -0.00549978 -0.27231 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.41357 0.0587762 0.0121128 ,19.3055
V 18 :0.992975 -0.0873834 -0.079781 -0.0774026 0.030282 -0.99654 0.089497 0.995715 0.0233055 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.995759 -0.057335 0.0719492 0.057807 -0.998318 0.00449403 0.0715705 0.00863414 0.997398 ,-1.0834 0.0457352 -0.134576 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.13588 -0.0355326 0.00419655 ,19.3055
V 30 :0.961582 0.248904 -0.115791 -0.117299 -0.008817 -0.993057 -0.248197 0.968488 0.020718 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.954586 0.280454 0.100554 -0.2778 -0.959815 0.0397728 0.107667 0.0100328 0.994136 ,0.92797 -0.153746 -0.283663 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.912802 -0.0114712 0.000875215 ,19.3055
V 40 :0.97366 -0.227288 0.018086 0.00481004 -0.0588292 -0.998257 0.227955 0.972049 -0.0561865 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.979975 -0.199051 -0.00531819 0.197684 -0.975755 0.093934 -0.0238869 0.0910016 0.995564 ,-0.317787 -0.0817275 0.360753 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.257834 -0.501955 -0.00352061 ,19.3055
V 48 :0.957367 -0.288739 -0.00878763 -0.00565817 0.0116712 -0.999916 0.288818 0.957337 0.00953984 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.965588 -0.259972 0.00736137 0.260075 -0.965303 0.0234984 0.000997019 0.0246042 0.999697 ,-0.930343 -0.0607884 0.394276 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.802297 -0.724867 -0.026347 ,19.3055
V 55 :0.998728 0.0449453 -0.0228589 -0.0298663 0.162014 -0.986337 -0.0406277 0.985765 0.16315 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.997263 0.0711908 0.0199485 -0.0731731 -0.98899 -0.128623 0.0105721 -0.129731 0.991493 ,-1.30356 -0.0809461 -0.686421 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.323 0.675562 0.0369388 ,19.3055
V 62 :0.990067 0.137818 -0.0278317 -0.0355964 0.0541996 -0.997895 -0.136019 0.988974 0.0585669 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.985798 0.166425 0.0224904 -0.166906 -0.985737 -0.0215582 0.0185818 -0.0250058 0.999515 ,-0.527472 -0.0206632 0.386581 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.631855 -0.372006 -0.0159078 ,19.3055
V 68 :0.983065 0.180136 -0.033698 -0.0580337 0.131585 -0.989605 -0.17383 0.974801 0.13981 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.977837 0.20476 0.0436819 -0.208201 -0.972988 -0.09974 0.0220791 -0.106624 0.994054 ,0.471033 -0.089104 -0.692516 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.527519 0.537732 0.0603376 ,19.3055
V 74 :0.995961 -0.0867085 0.023305 0.0487356 0.304081 -0.951399 0.0754078 0.948692 0.307078 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.997376 -0.0475107 -0.0546174 0.060592 -0.960742 -0.270747 -0.0396099 -0.273346 0.9611 ,0.794324 0.703857 0.37338 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.81394 -0.582604 0.561777 ,19.3055
V 75 :0.993991 -0.105977 -0.0274164 -0.0124911 0.139011 -0.990212 0.108751 0.984604 0.136852 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.996863 -0.0787715 0.00772708 0.0775393 -0.991509 -0.104389 0.0158843 -0.103462 0.994507 ,0.597793 0.212952 0.619209 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.618709 -0.654681 0.178866 ,19.3055
