V 0 :0.993261 -0.0860012 -0.0776987 -0.0833676 -0.0644111 -0.994435 0.0805179 0.994211 -0.0711468 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.995821 -0.0481515 0.0776014 0.05576 -0.993518 0.0990653 0.0723282 0.102978 0.99205 ,0.00698032 0.0259224 -0.0703598 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.0463182 0.00340709 0.0696725 ,19.3055
V 11 :0.993039 -0.116966 0.0138771 0.0116445 -0.0197497 -0.999737 0.117209 0.99294 -0.0182503 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.995983 -0.0880795 -0.0160965 0.0870828 -0.994701 0.0546521 -0.020825 0.0530308 0.998376 ,-1.04948 0.0145544 -0.276187 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.11278 0.0794597 0.0734054 ,19.3055
V 23 :0.988373 0.118898 -0.0947795 -0.105484 0.0872148 -0.990589 -0.109513 0.989069 0.0987424 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.985421 0.142299 0.0932542 -0.147751 -0.987528 -0.0543884 0.0843517 -0.0673738 0.994156 ,1.15667 -0.0956495 -0.396582 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-1.13753 0.197093 0.0898197 ,19.3055
V 30 :0.993514 -0.104916 0.0438469 0.0513936 0.0703421 -0.996198 0.101433 0.99199 0.0752778 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.995689 -0.0736726 -0.0563639 0.0757429 -0.996495 -0.035519 -0.0535496 -0.039635 0.997778 ,-0.979747 -0.0463997 -0.516608 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.0658 0.336991 0.0798268 ,19.3055
V 37 :0.99142 0.126944 -0.0311943 -0.0303877 -0.00828573 -0.999504 -0.127139 0.991876 -0.0043572 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.987376 0.157415 0.0175767 -0.156593 -0.986809 0.0410802 0.0238115 0.0378092 0.999001 ,0.56425 -0.0455376 0.492216 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.441226 -0.621473 0.020473 ,19.3055
V 48 :0.990254 -0.138038 0.0185468 0.049409 0.22366 -0.973414 0.13022 0.964843 0.228301 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.993305 -0.102459 -0.0533695 0.110811 -0.97563 -0.189387 -0.0326644 -0.194033 0.980451 ,0.0802386 0.0274087 -0.350501 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.000425428 0.260184 0.1367 ,19.3055
V 53 :0.998849 -0.0340487 -0.0337953 -0.0260489 0.206626 -0.978073 0.0402851 0.977827 0.205502 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.999774 -0.00976637 0.0188964 0.00635526 -0.984935 -0.172807 0.0202994 -0.172647 0.984774 ,0.298329 0.0112078 -0.466085 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.233203 0.385492 0.147615 ,19.3055
V 60 :0.714615 -0.690233 0.113597 0.0694396 -0.0915948 -0.993372 0.696064 0.717767 -0.0175256 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.73456 -0.676571 -0.0517099 0.667764 -0.734318 0.121939 -0.120472 0.0550411 0.99119 ,-1.12728 -0.165312 -0.212773 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.948171 -0.717744 0.0138052 ,19.3055
V 66 :0.994116 -0.0862607 -0.0655178 -0.0614729 0.0487437 -0.996918 0.0891884 0.99508 0.0431541 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.996771 -0.0575409 0.0560092 0.0568424 -0.998285 -0.0139874 0.056718 -0.0107586 0.998332 ,0.115753 -0.143198 0.0770201 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.0869082 -0.133932 -0.0972399 ,19.3055
V 71 :0.922836 -0.334457 0.191082 0.255283 0.159564 -0.953609 0.288451 0.928805 0.232633 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.929105 -0.269605 -0.253137 0.307733 -0.943241 -0.124888 -0.205099 -0.193932 0.959336 ,0.243084 0.462504 0.0986622 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.359007 -0.170864 0.410058 ,19.3055
V 79 :0.861549 0.47043 -0.190868 0.0304695 -0.423201 -0.905523 -0.506761 0.774337 -0.378942 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.845764 0.530705 -0.0551034 -0.496526 -0.74505 0.44538 0.195311 0.404046 0.893644 ,0.702512 -0.248418 0.124951 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.460509 -0.542857 0.0162684 ,19.3055
